code,description,merge_explanation,original_code,quote,source
Safety and Information Clarity,"Participants prioritize safety in research and seek clear, accessible information about clinical trials and health data.","These codes were merged because they all emphasize the importance of safety and clarity in health-related information, highlighting participants' needs for understanding and prioritizing their health.","[""Understanding Safety"", ""Importance of Patient Education"", ""Simplified Access to Information""]","[{""text"": ""[{\""text\"": \""Every research study is reviewed many times before it is ever offered to a person.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}, {\""text\"": \""He took the mystery out of it. And he broke it down into understandable blocks of information.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""If you have more than one doctor, you have more than one portal, and there\\u2019s no real way to integrate those.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv""}]","13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Seeking Clarity on Participation,Participants want clear guidance on how to decide if participating in a trial is right for them.,,"[""Seeking Clarity on Participation""]","[{""text"": ""[{\""text\"": \""The best way to make that decision is to talk to your doctor and make sure you understand all of your options.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Seeking Comprehensive Resources,Participants desire comprehensive resources that provide detailed information about research studies.,,"[""Seeking Comprehensive Resources""]","[{""text"": ""[{\""text\"": \""I think it\\u2019s been very beneficial.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Seeking Feedback,Participants desire feedback from research studies to understand the impact of their contributions.,,"[""Seeking Feedback""]","[{""text"": ""[{\""text\"": \""I never got any feedback from them... I didn't get any feedback at all.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Seeking Financial Compensation,"The goal is to receive monetary compensation for participation in clinical trials, especially for those on fixed incomes.",,"[""Seeking Financial Compensation""]","[{""text"": ""[{\""text\"": \""And also at the end, and this was also important, it was a financial reward.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Seeking Reliable Health Information,Participants actively look for credible health information and express skepticism towards less reliable sources.,,"[""Seeking Reliable Health Information""]","[{""text"": ""[{\""text\"": \""I generally won't trust the government unless I see some sources that I think are trustworthy.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Seeking Supportive Resources,The goal is to find resources that provide emotional and informational support for health challenges.,,"[""Seeking Supportive Resources""]","[{""text"": ""[{\""text\"": \""It would help because it would give you extra care.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Self-Decision Making,Some users prefer to make health decisions independently without relying on their physician's guidance.,,"[""Self-Decision Making""]","[{""text"": ""[{\""text\"": \""I'd make that decision myself without the help of the doctor.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Share Functionality,Users want a clear and easy way to share information about the application with friends and family.,,"[""Share Functionality""]","[{""text"": ""[{\""text\"": \""Maybe write down the word, 'Share.'\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Share Information Easily,Users want to easily share information about research studies with others.,,"[""Share Information Easily""]","[{""text"": ""[{\""text\"": \""I like the fact that you can share with people who, it may not be applicable to you.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Sharing Personal Experiences,The intention to share personal health experiences to help others in similar situations.,,"[""Sharing Personal Experiences""]","[{""text"": ""[{\""text\"": \""Perhaps we can contact you and have you be one of our inspirational stories.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Simplified Navigation,Users want intuitive navigation that allows them to easily access information without feeling overwhelmed.,,"[""Simplified Navigation"", ""Simplified Navigation""]","[{""text"": ""[{\""text\"": \""Make it a way so I don't have to waste my time. I want to keep, you know, get to my help.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""I think that stands out more. I don\\u2019t know if that's an option.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]","7_R24FG_HF_Group_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv"
Simplify Navigation,Users want a straightforward navigation experience to avoid confusion.,,"[""Simplify Navigation""]","[{""text"": ""[{\""text\"": \""I think it would depend on what I wanted. If I wanted to know more about what is a research study, then I would click on that.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Skepticism About Online Information,The participant is cautious about the reliability of online health information.,,"[""Skepticism About Online Information""]","[{""text"": ""[{\""text\"": \""I just search, and I just took whatever I get on there.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Skepticism Towards Government Sources,"Participants exhibit skepticism towards government-provided health information, preferring independent sources.",,"[""Skepticism Towards Government Sources""]","[{""text"": ""[{\""text\"": \""I mean, there are sources that are less trustworthy than the government.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Skepticism Towards Medical Changes,Users express skepticism about recent changes in healthcare access and communication due to COVID-19.,,"[""Skepticism Towards Medical Changes""]","[{""text"": ""[{\""text\"": \""I'm not really happy with some of the changes.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Skepticism Towards Medical Recommendations,The user expresses doubt about the effectiveness of traditional medical treatments suggested by doctors.,,"[""Skepticism Towards Medical Recommendations""]","[{""text"": ""[{\""text\"": \""All the medical treatments that these doctors are recommending are really not working.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Skepticism Towards Online Information,"The user exhibits skepticism towards online information, emphasizing the need for credible sources.",,"[""Skepticism Towards Online Information"", ""Skepticism Towards Online Information""]","[{""text"": ""[{\""text\"": \""I don't know about that. Trustworthy.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""I would be very skeptical of using the internet widely regarding medicines, because everyone is different.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]","4_R24FG_CF_Group_Villages_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv"
Skepticism Towards Online Sources,"Participants are skeptical about the reliability of information found online, preferring direct communication with healthcare providers.",,"[""Skepticism Towards Online Sources""]","[{""text"": ""[{\""text\"": \""I don't trust what someone else says or researches.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
Skepticism about Placebo,"Participants express skepticism about the use of placebo in trials, fearing they may miss out on effective treatments.",,"[""Skepticism about Placebo""]","[{""text"": ""[{\""text\"": \""I don\\u2019t want to be on placebo because I know that you have to have a control.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Specific Condition Breakdown,Participants want detailed breakdowns of studies based on specific conditions.,,"[""Specific Condition Breakdown""]","[{""text"": ""[{\""text\"": \""Cancer of my... left them, something to break it down and make it more specific.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Stay Active,Participants aim to engage in various physical activities to maintain their health and well-being.,,"[""Stay Active""]","[{""text"": ""[{\""text\"": \""I play golf and kayak and going to [gym name] and staying active.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Success Stories,The desire to share and highlight positive health outcomes as a source of inspiration.,,"[""Success Stories""]","[{""text"": ""[{\""text\"": \""So that, you know, showcase a success story like that. That's why this is important.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Success Stories and Information Sharing,Users seek real-life success stories and wish to share health and research information to inspire participation in clinical trials.,These codes were merged because both emphasize the importance of sharing impactful narratives and information to motivate individuals in clinical trial participation.,"[""Desire for Success Stories"", ""Information Sharing""]","[{""text"": ""[{\""text\"": \""Showcase a success story. Show us how this saved somebody's life.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""Information sharing.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv""}]","9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Supplementary Information Access,Participants want access to additional information that can aid discussions with healthcare providers.,,"[""Supplementary Information Access""]","[{""text"": ""[{\""text\"": \""Some specifics on if you were in some kind of medication test or specifics on that.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Support for Research Participation,The interviewee supports the idea of participating in research studies as a means to contribute to medical advancements.,,"[""Support for Research Participation""]","[{""text"": ""[{\""text\"": \""I'm always happy to help with research. I'm a big believer in it.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Supportive Healthcare Environment,The goal of being in a supportive healthcare environment that fosters healing.,,"[""Supportive Healthcare Environment""]","[{""text"": ""[{\""text\"": \""Had he not been at [hospital name], he wouldn't be here.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Time Commitment Concerns,Participants express interest and concerns regarding the time commitment required for study participation.,"These codes were merged because both address participants' focus on the time commitment involved in studies, highlighting their interest and concerns.","[""Long-term Commitment"", ""Concerns About Time Commitment""]","[{""text"": ""[{\""text\"": \""How long it was.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}, {\""text\"": \""Time is the big issue. Having the time to do it.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv""}]","17_R24FG_WM_Group_Villages_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv"
Time Constraints for Participation,The user acknowledges personal time constraints that affect their ability to participate in research activities.,,"[""Time Constraints for Participation""]","[{""text"": ""[{\""text\"": \""Sometimes I don't have the time to come out to this meeting.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Timely Access to Health Information,Users seek quick and reliable health information to make informed decisions about their care.,"These codes were merged due to their shared focus on the importance of timely access to health information, enhancing user decision-making in healthcare.","[""Access to Health Information"", ""Desire for Timely Information""]","[{""text"": ""[{\""text\"": \""I like the quick turnaround on procedure results... I can get the report within twenty-four hours.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I think it's taking one step too many at this point in time.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv""}]","10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv"
Transparency in Research,Participants desire transparency regarding funding and processes in research studies.,,"[""Transparency in Research""]","[{""text"": ""[{\""text\"": \""I wonder how you separate because how do we know who funds a grant for a university study?\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Transportation Concerns,"The participant expresses concerns about transportation to clinical trial locations, especially due to age.",,"[""Transportation Concerns""]","[{""text"": ""[{\""text\"": \""It'd be hard for me to get back and forth to the trials.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Trial Eligibility Awareness,Users aim to be informed about their eligibility for clinical trials to explore potential treatment options.,,"[""Trial Eligibility Awareness""]","[{""text"": ""[{\""text\"": \""If I just learned from Alex, that wouldn't be quite enough.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Trust and Communication in Healthcare,Users value trust in medical professionals and seek effective communication tools with healthcare providers.,"These codes were merged because they both emphasize the importance of trust and communication in the healthcare experience, highlighting user expectations for professional interactions.","[""Trust in Medical Professionals"", ""Effective Communication with Healthcare Providers""]","[{""text"": ""[{\""text\"": \""Sometimes their opinion, it's their opinion.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I think that if my doctor sees that whole list that I checked, they would probably not like it either.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv""}]","8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv"
Trust in Doctor's Recommendations,The participant trusts their doctor as a primary source of health information and guidance.,,"[""Trust in Doctor's Recommendations""]","[{""text"": ""[{\""text\"": \""I mainly go to the doctor. I mean, I do go on the internet a little bit.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Trust in Health Information Sources,"Participants emphasize the importance of reliable sources for health information, favoring established institutions and medical professionals.","These codes were merged due to their common theme of prioritizing trustworthy sources for health information, highlighting the participants' discernment in selecting reliable information.","[""Trust in Information Sources"", ""Importance of Trustworthy Sources"", ""Seeking Trustworthy Information"", ""Information Trustworthiness"", ""Trustworthiness of Information""]","[{""text"": ""[{\""text\"": \""I trust more like the Mayo Clinic because it\\u2019s a hospital.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}, {\""text\"": \""Depends on the website I'm getting that from.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""It has to be a trustworthy site if it's on the internet.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""For me, the source of information is important. I will go deeper into that and ask my doctor.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}, {\""text\"": \""I don\\u2019t believe too much I read and see online.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}, {\""text\"": \""I would be hundred percent sure that it is accurate information, and as long as it\\u2019s supported by my doctor.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv, 1_R24FG_BF_Group_UF_initial_codes.csv, 12_R24FG_HM_Individual_GNV_initial_codes.csv""}]","5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv, 1_R24FG_BF_Group_UF_initial_codes.csv, 12_R24FG_HM_Individual_GNV_initial_codes.csv"
Trust in Health Research Sources,Participants emphasize the importance of trusting credible sources and professionals for reliable health information and research integrity.,"These codes were merged due to their common theme of emphasizing trust in credible sources, whether in research processes or medical professionals, to ensure informed decision-making.","[""Trust in Research"", ""Trust in Medical Professionals"", ""Source Credibility"", ""Trustworthy Information"", ""Trustworthy Information Sources"", ""Access Trustworthy Information"", ""Trustworthy Sources"", ""Trust in Information Sources"", ""Trust in Health Information""]","[{""text"": ""[{\""text\"": \""I try to search who is the person that wrote the research.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""If my doctor recommended... I would consider that seriously.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}, {\""text\"": \""I prefer talking to my physicians.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I do take a look at where the source is from.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I might put more credence in my doctor's office maybe, or a doctor as opposed to reading the newspaper.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I tend to go more towards not web-based... a medical journal.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""For this stuff, you kind of really do want the ones that know.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I have to trust the source... I think [university name] is a very reputable institution.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""For me, it\\u2019d be PubMed... a lot of the articles... are from doctors specifically studying that particular question.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""If I see that it's approved by the IRB, I know that it's been through a panel of people who know what to look for.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I don't trust a lot that I see on the internet.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv, 2_R24FG_BF_Individual_GNV_initial_codes.csv""}]","7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv, 2_R24FG_BF_Individual_GNV_initial_codes.csv"
Trust in Healthcare Professionals,Confidence in healthcare providers' commitment to patient well-being and the safety of treatments.,These codes were merged due to their shared focus on the importance of trust in healthcare providers and the reassurance patients seek regarding their care.,"[""Trust in Healthcare Providers"", ""Trust in Medical Professionals""]","[{""text"": ""[{\""text\"": \""That patient has to believe that that doctor wants absolutely what's best for that patient.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I\\u2019d want to hear from the doctor also.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv""}]","10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv"
Trust in Healthcare Providers,Participants highlight the significance of trusting healthcare professionals when considering clinical trial participation.,"These codes were merged due to their overlapping themes of trust in medical professionals, emphasizing the role of healthcare providers in influencing participants' decisions regarding clinical trials.","[""Trust in Medical Professionals""]","[{""text"": ""[{\""text\"": \""If he was to tell me, 'I would like you to look at this clinical trial,' and it\\u2019s a medical professional that I trust, then yeah, maybe I will give more leeway.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}, {\""text\"": \""To me? When it come from my doctor.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv, 12_R24FG_HM_Individual_GNV_initial_codes.csv""}]","1_R24FG_BF_Group_UF_initial_codes.csv, 12_R24FG_HM_Individual_GNV_initial_codes.csv"
Trust in Information,Users need to feel that the information provided is trustworthy and reliable.,,"[""Trust in Information"", ""Trust in Information""]","[{""text"": ""[{\""text\"": \""I didn\\u2019t find anything that wasn\\u2019t trustworthy.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}, {""text"": ""[{\""text\"": \""If that's clearer, that's where you start to feel like, 'Eh. I don\\u2019t know.'\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]","7_R24FG_HF_Group_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Trust in Medical Guidance,Users seek and trust medical professionals' opinions on clinical trials for safety and relevance to their health.,These codes were merged due to their shared focus on the importance of consulting and trusting healthcare providers for informed health decisions regarding clinical trials.,"[""Seek Doctor's Opinion"", ""Trust in Healthcare Providers"", ""Trust in Medical Professionals""]","[{""text"": ""[{\""text\"": \""I would want the information from them about their thoughts on it.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I bring that to his attention.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""Because I don't trust a lot.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv, 2_R24FG_BF_Individual_GNV_initial_codes.csv""}]","4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv, 2_R24FG_BF_Individual_GNV_initial_codes.csv"
Trust in Medical Institutions,"The interviewee expresses trust in established medical institutions and their research processes, enhancing their confidence in clinical trials.",,"[""Trust in Medical Institutions""]","[{""text"": ""[{\""text\"": \""I trust their site explicitly... I've never had any issues with the V-A.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Trust in Security,Users seek assurance that their personal health information is secure and that healthcare providers are taking necessary precautions.,,"[""Trust in Security""]","[{""text"": ""[{\""text\"": \""I trust that [university name] I-T and security is doing the best that they can do.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Trustworthy Information Sources,"Participants seek reliable sources of health information, emphasizing the importance of credentials and established organizations.",,"[""Trustworthy Information Sources""]","[{""text"": ""[{\""text\"": \""I usually use a site that I trust or go to the source.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Understand Next Steps,Users seek clarity on what actions to take next after initial information.,,"[""Understand Next Steps""]","[{""text"": ""[{\""text\"": \""The 'Next' makes me think that 'Oh, there are more, more things to look at, go to.'\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Understand Research Registries,Users want to learn about research registries and how they can sign up to receive information about studies.,,"[""Understand Research Registries""]","[{""text"": ""[{\""text\"": \""I think I already have [signed up for a registry].\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Understanding Clinical Research Differences,Clarifying distinctions between clinical trials and research studies for better participant comprehension.,"These codes were merged because they both focus on helping participants understand the differences between clinical trials and research studies, emphasizing clarity and comprehension.","[""Understanding Clinical Research"", ""Understanding Research Study Differences""]","[{""text"": ""[{\""text\"": \""In the research study, you are just trying to learn stuff.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""A clinical trial would be where a person is involved, personally.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv""}]","10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv"
